"employee_key";"employee_id";"age";"gender";"department";"job_role";"job_level";"monthly_income";"attrition"
73;100076;31;"FEMALE";"Research & Development";"Manufacturing Director";2;4424.0;"No"
74;100077;35;"male";"Sales";"Sales Executive";2;4312.0;"No"
75;100078;45;"M";"Research & Development";"Research Director";3;13245.0;"No"
76;100079;37;"M";"Research & Development";"Research Director";3;13664.0;"No"
77;100080;46;"male";"Human Resources";"Human Resources";2;5021.0;"No"
78;100081;30;"M";"Research & Development";"Laboratory Technician";2;5126.0;"No"
79;100082;35;"Male";"Research & Development";"Research Scientist";1;2859.0;"No"
80;100083;55;"male";"Sales";"Sales Executive";3;10239.0;"No"
81;100084;38;"Female";"Research & Development";"Research Scientist";2;5329.0;"No"
82;100086;56;"male";"Research & Development";"Manufacturing Director";3;7260.0;"No"
83;100087;23;"M";"Sales";"Sales Representative";1;2322.0;"No"
84;100089;30;"male";"Research & Development";"Healthcare Representative";2;4152.0;"No"
85;100090;46;"Male";"Sales";"Sales Executive";3;9619.0;"Yes"
86;100091;40;"Male";"Research & Development";"Healthcare Representative";4;13503.0;"No"
87;100092;51;"Male";"Sales";"Sales Executive";2;5441.0;"No"
88;100093;30;"Female";"Sales";"Sales Executive";2;5209.0;"No"
89;100095;32;"Male";"Sales";"Sales Executive";2;5010.0;"No"
90;100096;54;"Female";"Research & Development";"Research Director";3;13549.0;"No"
91;100097;24;"Female";"Sales";"Sales Executive";2;4999.0;"No"
92;100098;28;"M";"Sales";"Sales Executive";2;4221.0;"No"
93;100099;58;"Male";"Sales";"Sales Executive";4;13872.0;"No"
94;100100;44;"Male";"Research & Development";"Laboratory Technician";2;2042.0;"No"
95;100101;37;"M";"Human Resources";"Human Resources";1;2073.0;"Yes"
96;100102;32;"M";"Research & Development";"Research Scientist";1;2956.0;"No"
97;100103;20;"f";"Research & Development";"Laboratory Technician";1;2926.0;"Yes"
98;100104;34;"Female";"Research & Development";"Research Scientist";2;4809.0;"No"
99;100105;37;"M";"Research & Development";"Healthcare Representative";2;5163.0;"No"
100;100106;59;"f";"Human Resources";"Manager";5;18844.0;"No"
101;100107;50;"Female";"Research & Development";"Research Director";5;18172.0;"No"
102;100108;25;"M";"Sales";"Sales Executive";2;5744.0;"Yes"
103;100109;25;"Male";"Research & Development";"Research Scientist";1;2889.0;"No"
104;100110;22;"FEMALE";"Research & Development";"Laboratory Technician";1;2871.0;"No"
105;100111;51;"f";"Research & Development";"Healthcare Representative";3;7484.0;"No"
106;100112;34;"male";"Research & Development";"Laboratory Technician";2;6074.0;"Yes"
107;100113;54;"Female";"Human Resources";"Manager";4;17328.0;"No"
108;100114;24;"M";"Research & Development";"Laboratory Technician";1;2774.0;"No"
109;100115;34;"Female";"Research & Development";"Research Scientist";2;4505.0;"No"
110;100116;37;"male";"Sales";"Sales Executive";3;7428.0;"No"
111;100117;34;"Female";"Research & Development";"Manager";3;11631.0;"No"
112;100118;36;"f";"Sales";"Sales Executive";3;9738.0;"No"
113;100119;36;"f";"Research & Development";"Laboratory Technician";1;2835.0;"No"
114;100120;43;"male";"Sales";"Manager";4;16959.0;"No"
115;100121;30;"Male";"Research & Development";"Research Scientist";1;2613.0;"No"
116;100123;56;"FEMALE";"Research & Development";"Research Scientist";1;4963.0;"Yes"
117;100124;51;"M";"Research & Development";"Research Director";5;19537.0;"No"
118;100125;31;"M";"Sales";"Sales Executive";2;6172.0;"Yes"
119;100126;26;"Female";"Research & Development";"Research Scientist";1;2368.0;"No"
120;100127;58;"f";"Research & Development";"Healthcare Representative";3;10312.0;"Yes"
121;100128;19;"Male";"Sales";"Sales Representative";1;1675.0;"Yes"
122;100129;22;"M";"Research & Development";"Laboratory Technician";1;2523.0;"No"
123;100130;49;"FEMALE";"Research & Development";"Manufacturing Director";2;6567.0;"No"
124;100131;43;"f";"Research & Development";"Research Scientist";1;4739.0;"No"
125;100132;50;"Female";"Sales";"Sales Executive";3;9208.0;"No"
126;100133;31;"Female";"Sales";"Sales Executive";2;4559.0;"Yes"
127;100134;41;"male";"Sales";"Sales Executive";3;8189.0;"No"
128;100135;26;"f";"Human Resources";"Human Resources";1;2942.0;"No"
129;100137;51;"male";"Research & Development";"Manufacturing Director";3;10650.0;"Yes"
130;100138;39;"f";"Sales";"Sales Executive";2;5902.0;"No"
131;100139;25;"M";"Sales";"Sales Executive";2;8639.0;"No"
132;100140;30;"Male";"Human Resources";"Human Resources";2;6347.0;"No"
133;100142;45;"M";"Research & Development";"Research Scientist";1;3452.0;"No"
134;100143;38;"FEMALE";"Research & Development";"Research Scientist";2;4317.0;"No"
135;100144;30;"FEMALE";"Research & Development";"Research Scientist";1;2632.0;"No"
136;100145;32;"Male";"Sales";"Sales Executive";2;4668.0;"No"
137;100146;30;"f";"Research & Development";"Research Scientist";1;3204.0;"No"
138;100147;30;"M";"Research & Development";"Laboratory Technician";1;2720.0;"No"
139;100148;41;"M";"Research & Development";"Manager";4;17181.0;"No"
140;100149;41;"Male";"Research & Development";"Laboratory Technician";1;2238.0;"No"
141;100150;19;"Female";"Research & Development";"Laboratory Technician";1;1483.0;"No"
142;100151;40;"FEMALE";"Research & Development";"Research Scientist";2;5605.0;"No"
143;100152;35;"Male";"Sales";"Sales Executive";3;7295.0;"No"
144;100153;53;"M";"Sales";"Sales Representative";2;2306.0;"No"
145;100154;45;"M";"Research & Development";"Laboratory Technician";2;2348.0;"No"
146;100156;29;"M";"Research & Development";"Manufacturing Director";2;4319.0;"No"
147;100157;51;"M";"Research & Development";"Manufacturing Director";2;6132.0;"No"
148;100158;58;"Female";"Research & Development";"Research Scientist";1;3346.0;"No"
149;100159;40;"Male";"Sales";"Sales Executive";3;10855.0;"No"
150;100160;34;"f";"Sales";"Sales Representative";1;2231.0;"No"
151;100161;22;"M";"Research & Development";"Research Scientist";1;2323.0;"No"
152;100162;27;"M";"Research & Development";"Research Scientist";1;2024.0;"No"
153;100163;28;"male";"Research & Development";"Research Scientist";1;2713.0;"No"
154;100164;57;"male";"Research & Development";"Healthcare Representative";3;9439.0;"No"
155;100165;27;"male";"Research & Development";"Research Scientist";1;2566.0;"No"
156;100166;50;"Female";"Research & Development";"Manager";5;19926.0;"No"
157;100167;41;"male";"Research & Development";"Research Scientist";1;2451.0;"No"
158;100169;38;"Female";"Sales";"Sales Executive";2;8686.0;"No"
159;100170;32;"male";"Research & Development";"Research Scientist";1;3038.0;"No"
160;100171;27;"male";"Research & Development";"Research Scientist";1;3058.0;"No"
161;100172;19;"FEMALE";"Sales";"Sales Representative";1;2325.0;"Yes"
162;100173;36;"M";"Research & Development";"Laboratory Technician";1;2088.0;"No"
163;100174;30;"male";"Research & Development";"Laboratory Technician";2;3072.0;"No"
164;100175;45;"f";"Sales";"Sales Executive";2;5006.0;"No"
165;100176;56;"Female";"Research & Development";"Research Scientist";1;4257.0;"No"
166;100177;33;"M";"Research & Development";"Research Scientist";1;2500.0;"No"
167;100178;19;"male";"Research & Development";"Laboratory Technician";1;1102.0;"Yes"
168;100179;46;"Female";"Sales";"Sales Executive";3;10453.0;"No"
169;100180;38;"Female";"Research & Development";"Laboratory Technician";1;2288.0;"No"
170;100181;31;"Female";"Research & Development";"Research Scientist";1;3929.0;"No"
171;100182;34;"f";"Research & Development";"Research Scientist";1;2311.0;"No"
172;100183;41;"FEMALE";"Sales";"Sales Representative";1;3140.0;"Yes"
173;100184;50;"Male";"Research & Development";"Laboratory Technician";1;3690.0;"No"
174;100185;53;"Female";"Research & Development";"Manufacturing Director";2;4450.0;"No"
175;100186;33;"Female";"Research & Development";"Research Scientist";1;2756.0;"No"
176;100187;40;"f";"Research & Development";"Manager";5;19033.0;"No"
177;100188;55;"M";"Research & Development";"Research Director";5;18722.0;"No"
178;100189;34;"male";"Research & Development";"Manufacturing Director";2;9547.0;"No"
179;100190;51;"f";"Research & Development";"Healthcare Representative";4;13734.0;"No"
180;100191;52;"Male";"Research & Development";"Manager";5;19999.0;"No"
181;100192;27;"FEMALE";"Research & Development";"Research Scientist";1;2279.0;"No"
182;100193;35;"Male";"Research & Development";"Manufacturing Director";2;5916.0;"Yes"
183;100194;43;"Male";"Research & Development";"Research Scientist";1;2089.0;"No"
184;100195;45;"M";"Research & Development";"Manager";4;16792.0;"No"
185;100196;37;"male";"Research & Development";"Research Scientist";1;3564.0;"No"
186;100197;35;"f";"Research & Development";"Laboratory Technician";2;4425.0;"No"
187;100198;42;"f";"Research & Development";"Manufacturing Director";2;5265.0;"No"
188;100199;38;"male";"Research & Development";"Manufacturing Director";2;6553.0;"No"
189;100200;38;"Male";"Research & Development";"Manufacturing Director";2;6261.0;"No"
190;100201;27;"Male";"Research & Development";"Manufacturing Director";2;4298.0;"No"
191;100202;49;"male";"Research & Development";"Manufacturing Director";2;6804.0;"No"
192;100203;34;"Male";"Research & Development";"Research Scientist";1;3815.0;"No"
193;100204;40;"male";"Research & Development";"Laboratory Technician";2;2741.0;"No"
194;100205;38;"male";"Research & Development";"Healthcare Representative";2;6673.0;"Yes"
195;100206;29;"f";"Sales";"Sales Executive";3;7639.0;"Yes"
196;100207;22;"male";"Research & Development";"Research Scientist";1;2328.0;"No"
197;100209;40;"Male";"Research & Development";"Healthcare Representative";2;4876.0;"No"
198;100210;46;"Male";"Research & Development";"Healthcare Representative";3;9396.0;"No"
199;100211;32;"Male";"Sales";"Sales Executive";3;10400.0;"Yes"
200;100212;30;"Male";"Research & Development";"Manufacturing Director";3;8474.0;"No"
201;100213;27;"f";"Sales";"Sales Executive";2;9981.0;"No"
202;100214;51;"Male";"Research & Development";"Research Director";3;12490.0;"No"
203;100215;30;"FEMALE";"Research & Development";"Research Scientist";1;2657.0;"Yes"
204;100216;41;"FEMALE";"Sales";"Manager";3;13591.0;"No"
205;100217;30;"FEMALE";"Sales";"Sales Executive";2;6696.0;"Yes"
206;100218;29;"M";"Research & Development";"Research Scientist";1;2058.0;"Yes"
207;100219;45;"Female";"Sales";"Sales Executive";3;8865.0;"No"
208;100220;54;"Female";"Sales";"Sales Executive";2;5940.0;"No"
209;100221;36;"Male";"Research & Development";"Laboratory Technician";2;5914.0;"No"
210;100222;33;"f";"Research & Development";"Research Scientist";1;2622.0;"No"
211;100223;37;"male";"Research & Development";"Research Director";3;12185.0;"No"
212;100224;38;"male";"Sales";"Sales Executive";3;10609.0;"No"
213;100225;31;"Male";"Research & Development";"Manufacturing Director";2;4345.0;"No"
214;100226;59;"male";"Research & Development";"Research Scientist";1;2177.0;"No"
215;100227;37;"male";"Sales";"Sales Representative";1;2793.0;"No"
216;100229;35;"f";"Sales";"Sales Executive";3;8789.0;"No"
217;100230;29;"M";"Research & Development";"Research Scientist";1;2389.0;"Yes"
218;100231;52;"f";"Research & Development";"Laboratory Technician";1;3212.0;"No"
219;100232;42;"Male";"Research & Development";"Manager";5;19232.0;"No"
220;100233;59;"M";"Human Resources";"Human Resources";1;2267.0;"No"
221;100234;50;"FEMALE";"Sales";"Manager";5;19517.0;"No"
222;100235;33;"Male";"Research & Development";"Laboratory Technician";1;2436.0;"Yes"
223;100236;43;"FEMALE";"Sales";"Manager";4;16064.0;"No"
224;100237;33;"FEMALE";"Research & Development";"Laboratory Technician";1;2707.0;"Yes"
225;100238;52;"male";"Sales";"Manager";5;19068.0;"No"
226;100239;32;"f";"Sales";"Sales Representative";1;3931.0;"No"
227;100240;32;"M";"Research & Development";"Laboratory Technician";1;3730.0;"Yes"
228;100241;39;"Female";"Research & Development";"Laboratory Technician";1;2232.0;"No"
229;100242;32;"Male";"Sales";"Sales Executive";2;4465.0;"No"
230;100244;40;"male";"Research & Development";"Research Scientist";2;3319.0;"No"
231;100246;31;"M";"Research & Development";"Research Director";3;13675.0;"No"
232;100247;33;"f";"Research & Development";"Research Scientist";1;2911.0;"No"
233;100248;34;"M";"Research & Development";"Manufacturing Director";2;5957.0;"No"
234;100249;37;"FEMALE";"Research & Development";"Research Scientist";1;3920.0;"No"
235;100250;45;"M";"Research & Development";"Manufacturing Director";2;6434.0;"No"
236;100251;37;"M";"Research & Development";"Manufacturing Director";3;10048.0;"Yes"
237;100252;39;"f";"Research & Development";"Healthcare Representative";3;10938.0;"No"
238;100253;29;"M";"Research & Development";"Research Scientist";1;65754.0;"No"
239;100254;42;"Female";"Research & Development";"Research Scientist";2;6545.0;"No"
240;100255;29;"Male";"Sales";"Sales Executive";2;6931.0;"No"
241;100256;25;"f";"Research & Development";"Manufacturing Director";2;4898.0;"No"
242;100257;42;"FEMALE";"Research & Development";"Laboratory Technician";1;2593.0;"No"
243;100258;40;"Male";"Research & Development";"Research Director";5;19436.0;"No"
244;100259;51;"M";"Research & Development";"Research Scientist";1;2723.0;"No"
245;100260;31;"Male";"Research & Development";"Laboratory Technician";1;3479.0;"Yes"
246;100261;32;"Male";"Research & Development";"Laboratory Technician";1;2794.0;"No"
247;100262;38;"male";"Sales";"Sales Executive";2;5249.0;"No"
248;100264;46;"f";"Sales";"Manager";4;16872.0;"No"
249;100265;28;"male";"Research & Development";"Laboratory Technician";1;3485.0;"Yes"
250;100266;29;"male";"Sales";"Sales Executive";2;6644.0;"No"
251;100267;31;"M";"Research & Development";"Healthcare Representative";2;5582.0;"No"
252;100268;25;"M";"Research & Development";"Healthcare Representative";2;4000.0;"No"
253;100269;45;"male";"Research & Development";"Healthcare Representative";4;13496.0;"No"
254;100270;36;"Male";"Research & Development";"Laboratory Technician";1;3210.0;"No"
255;100271;55;"Male";"Research & Development";"Manager";5;19045.0;"No"
256;100272;47;"male";"Research & Development";"Manager";3;11849.0;"Yes"
257;100273;28;"Male";"Research & Development";"Research Scientist";1;2070.0;"No"
258;100274;37;"male";"Sales";"Sales Executive";2;6502.0;"No"
259;100275;21;"Male";"Research & Development";"Research Scientist";1;3230.0;"No"
260;100276;37;"Female";"Research & Development";"Research Director";3;13603.0;"No"
261;100277;35;"f";"Research & Development";"Manager";3;11996.0;"No"
262;100278;38;"f";"Sales";"Sales Executive";2;5605.0;"No"
263;100279;26;"Female";"Research & Development";"Manufacturing Director";2;6397.0;"No"
264;100280;50;"Male";"Research & Development";"Research Director";5;19144.0;"No"
265;100281;53;"M";"Research & Development";"Research Director";4;17584.0;"No"
266;100283;29;"M";"Sales";"Sales Executive";2;4554.0;"No"
267;100284;55;"male";"Research & Development";"Laboratory Technician";2;5415.0;"No"
268;100285;26;"Male";"Research & Development";"Healthcare Representative";2;4741.0;"No"
269;100286;37;"f";"Research & Development";"Research Scientist";1;2115.0;"No"
270;100287;44;"Male";"Research & Development";"Laboratory Technician";1;3161.0;"Yes"
271;100288;38;"male";"Research & Development";"Healthcare Representative";2;5745.0;"No"
272;100289;26;"male";"Research & Development";"Laboratory Technician";1;2373.0;"Yes"
273;100290;28;"f";"Research & Development";"Research Scientist";1;3310.0;"No"
274;100291;49;"FEMALE";"Research & Development";"Research Director";5;18665.0;"No"
275;100292;36;"Male";"Research & Development";"Research Scientist";2;4485.0;"No"
276;100293;31;"f";"Sales";"Sales Representative";1;2789.0;"No"
277;100294;26;"Male";"Sales";"Sales Executive";2;5828.0;"Yes"
278;100295;37;"Male";"Research & Development";"Research Scientist";1;2326.0;"No"
279;100296;42;"FEMALE";"Sales";"Sales Executive";4;13525.0;"No"
280;100297;18;"male";"Research & Development";"Laboratory Technician";1;1420.0;"Yes"
281;100298;35;"male";"Sales";"Sales Executive";3;8020.0;"No"
282;100299;36;"male";"Research & Development";"Laboratory Technician";1;3688.0;"No"
283;100300;51;"male";"Research & Development";"Manufacturing Director";2;5482.0;"No"
284;100301;41;"M";"Sales";"Manager";4;16015.0;"No"
285;100302;18;"Female";"Sales";"Sales Representative";1;1200.0;"No"
286;100303;28;"Male";"Research & Development";"Healthcare Representative";2;5661.0;"No"
287;100304;31;"Male";"Sales";"Sales Executive";2;6929.0;"No"
288;100305;39;"Male";"Research & Development";"Healthcare Representative";3;9613.0;"No"
289;100306;36;"FEMALE";"Research & Development";"Laboratory Technician";2;5674.0;"No"
290;100307;32;"Male";"Sales";"Sales Executive";2;5484.0;"No"
291;100308;38;"f";"Research & Development";"Research Director";3;12061.0;"No"
292;100309;58;"M";"Research & Development";"Healthcare Representative";2;5660.0;"No"
293;100310;31;"Male";"Research & Development";"Research Scientist";1;4821.0;"No"
294;100313;31;"M";"Research & Development";"Research Scientist";1;2695.0;"No"
295;100314;33;"FEMALE";"Research & Development";"Manager";3;11878.0;"No"
296;100315;39;"M";"Research & Development";"Manager";4;17068.0;"No"
297;100316;43;"FEMALE";"Research & Development";"Laboratory Technician";1;2455.0;"No"
298;100317;49;"FEMALE";"Research & Development";"Healthcare Representative";4;13964.0;"No"
299;100318;52;"male";"Research & Development";"Research Scientist";2;4941.0;"Yes"
300;100319;27;"FEMALE";"Research & Development";"Research Scientist";1;2478.0;"No"
301;100320;32;"FEMALE";"Sales";"Sales Executive";2;5228.0;"No"
302;100321;27;"Male";"Sales";"Sales Executive";2;4478.0;"No"
303;100322;31;"M";"Sales";"Sales Executive";2;7547.0;"No"
304;100323;32;"FEMALE";"Research & Development";"Research Scientist";2;5055.0;"No"
305;100324;28;"M";"Research & Development";"Research Scientist";1;3464.0;"Yes"
306;100325;30;"f";"Research & Development";"Research Scientist";2;5775.0;"No"
307;100326;31;"FEMALE";"Research & Development";"Manufacturing Director";3;8943.0;"No"
308;100327;39;"Male";"Research & Development";"Manager";5;19272.0;"No"
309;100328;39;"FEMALE";"Sales";"Sales Executive";2;5238.0;"Yes"
310;100329;33;"Male";"Sales";"Sales Executive";2;4682.0;"No"
311;100330;47;"M";"Research & Development";"Research Director";5;18300.0;"No"
312;100331;43;"Female";"Research & Development";"Laboratory Technician";2;5257.0;"No"
313;100332;27;"Male";"Sales";"Sales Executive";2;6349.0;"No"
314;100333;54;"Female";"Research & Development";"Research Scientist";2;4869.0;"No"
315;100334;43;"f";"Research & Development";"Healthcare Representative";3;9985.0;"No"
316;100335;45;"M";"Research & Development";"Research Scientist";2;3697.0;"No"
317;100336;40;"Male";"Sales";"Sales Executive";2;7457.0;"No"
318;100337;29;"Male";"Research & Development";"Laboratory Technician";1;2119.0;"Yes"
319;100338;29;"male";"Research & Development";"Laboratory Technician";1;3983.0;"No"
320;100339;30;"Female";"Sales";"Sales Executive";2;6118.0;"No"
321;100341;37;"Male";"Research & Development";"Manufacturing Director";2;6347.0;"No"
322;100342;38;"male";"Research & Development";"Research Director";3;11510.0;"No"
323;100343;31;"f";"Research & Development";"Manufacturing Director";3;7143.0;"No"
324;100344;29;"Female";"Sales";"Sales Executive";2;8268.0;"No"
325;100345;35;"Male";"Research & Development";"Manufacturing Director";3;59280.0;"No"
326;100346;23;"Male";"Research & Development";"Research Scientist";1;2904.0;"No"
327;100347;41;"Male";"Research & Development";"Manufacturing Director";2;6032.0;"No"
328;100348;47;"male";"Sales";"Sales Representative";2;2976.0;"No"
329;100349;42;"Female";"Research & Development";"Research Director";4;15992.0;"No"
330;100350;29;"M";"Sales";"Sales Executive";2;4649.0;"No"
331;100351;42;"M";"Human Resources";"Human Resources";1;2696.0;"No"
332;100353;48;"f";"Sales";"Manager";3;12504.0;"No"
333;100354;37;"Male";"Research & Development";"Research Scientist";2;5974.0;"No"
334;100355;30;"Female";"Sales";"Sales Executive";2;4736.0;"No"
335;100356;26;"M";"Sales";"Sales Executive";2;5296.0;"No"
336;100357;42;"Male";"Research & Development";"Healthcare Representative";2;6781.0;"No"
337;100358;21;"f";"Sales";"Sales Representative";1;2174.0;"Yes"
338;100359;36;"FEMALE";"Sales";"Sales Executive";2;6653.0;"No"
339;100361;57;"male";"Research & Development";"Healthcare Representative";2;6755.0;"No"
340;100362;40;"f";"Research & Development";"Laboratory Technician";1;2213.0;"No"
341;100363;21;"male";"Sales";"Sales Representative";1;2610.0;"No"
342;100364;33;"FEMALE";"Sales";"Sales Representative";1;2851.0;"Yes"
343;100366;46;"FEMALE";"Research & Development";"Manufacturing Director";2;5258.0;"No"
344;100367;41;"male";"Sales";"Sales Executive";2;9355.0;"Yes"
345;100368;50;"M";"Research & Development";"Healthcare Representative";3;10496.0;"No"
346;100369;40;"male";"Sales";"Sales Executive";2;6380.0;"Yes"
347;100370;31;"M";"Research & Development";"Research Scientist";1;2657.0;"No"
348;100371;21;"FEMALE";"Sales";"Sales Representative";1;2716.0;"Yes"
349;100372;29;"M";"Research & Development";"Research Scientist";1;2201.0;"No"
350;100373;35;"M";"Research & Development";"Healthcare Representative";2;6540.0;"No"
351;100374;27;"male";"Research & Development";"Laboratory Technician";1;3816.0;"No"
352;100375;28;"male";"Sales";"Sales Executive";2;5253.0;"No"
353;100376;49;"male";"Research & Development";"Healthcare Representative";3;10965.0;"No"
354;100377;51;"Female";"Sales";"Sales Executive";2;4936.0;"No"
355;100378;36;"Female";"Research & Development";"Research Scientist";1;2543.0;"No"
356;100379;34;"Male";"Sales";"Sales Executive";2;5304.0;"Yes"
357;100380;55;"f";"Research & Development";"Manager";4;16659.0;"No"
358;100381;24;"FEMALE";"Sales";"Sales Executive";2;4260.0;"No"
359;100382;30;"M";"Sales";"Sales Representative";1;2476.0;"No"
360;100383;26;"Male";"Research & Development";"Research Scientist";1;3102.0;"Yes"
361;100384;22;"FEMALE";"Research & Development";"Research Scientist";1;2244.0;"No"
362;100385;36;"M";"Sales";"Sales Executive";3;7596.0;"No"
363;100386;30;"male";"Research & Development";"Research Scientist";1;2285.0;"Yes"
364;100387;37;"f";"Research & Development";"Laboratory Technician";1;3034.0;"No"
365;100388;40;"FEMALE";"Sales";"Sales Executive";2;5715.0;"No"
366;100389;42;"Female";"Research & Development";"Laboratory Technician";1;2576.0;"No"
367;100390;37;"Male";"Research & Development";"Manufacturing Director";2;4197.0;"No"
368;100391;43;"male";"Research & Development";"Research Director";4;14336.0;"No"
369;100392;40;"f";"Research & Development";"Laboratory Technician";2;3448.0;"No"
370;100393;54;"Male";"Research & Development";"Research Director";5;19406.0;"No"
371;100394;34;"Female";"Sales";"Sales Executive";2;6538.0;"No"
372;100395;31;"Female";"Research & Development";"Manufacturing Director";2;4306.0;"No"
373;100396;43;"male";"Research & Development";"Laboratory Technician";1;2258.0;"No"
374;100397;43;"FEMALE";"Research & Development";"Healthcare Representative";2;4522.0;"No"
375;100398;25;"f";"Sales";"Sales Executive";2;4487.0;"No"
376;100399;37;"f";"Research & Development";"Research Scientist";2;4449.0;"No"
