"employee_key";"date_key";"employee_contrib_rate";"employee_contrib_amount";"employer_match_amount";"plan_enrolled_flag"
4;17;3.613;105.1;87.27;"Yes"
4;18;3.613;105.1;87.27;"Yes"
4;19;3.613;105.1;87.27;"Yes"
4;20;3.613;-105.1;87.27;"Yes"
4;21;3.613;105.1;87.27;"Yes"
4;22;3.613;-105.1;87.27;"Yes"
4;23;3.613;105.1;87.27;"Yes"
4;24;3.613;105.1;87.27;"No"
4;25;3.613;105.1;87.27;"Yes"
4;26;3.613;105.1;87.27;"Yes"
4;27;3.613;105.1;87.27;"No"
4;28;3.613;105.1;87.27;"No"
4;29;3.613;105.1;87.27;"Yes"
4;30;3.613;105.1;87.27;"Yes"
4;31;3.613;105.1;87.27;"Yes"
4;32;3.613;105.1;87.27;"Yes"
4;33;3.613;105.1;87.27;"No"
4;34;3.613;105.1;87.27;"Yes"
4;35;3.613;105.1;87.27;"Yes"
4;36;3.613;105.1;87.27;"Yes"
4;37;3.613;105.1;87.27;"Yes"
4;38;3.613;105.1;87.27;"No"
4;39;3.613;105.1;87.27;"Yes"
4;40;3.613;105.1;87.27;"Yes"
4;41;3.613;105.1;87.27;"Yes"
4;42;3.613;105.1;87.27;"Yes"
4;43;3.613;105.1;87.27;"Yes"
4;44;3.613;105.1;87.27;"No"
4;45;3.613;105.1;87.27;"No"
4;46;3.613;105.1;87.27;"Yes"
4;47;3.613;105.1;87.27;"No"
4;48;3.613;105.1;87.27;"Yes"
4;49;3.613;105.1;87.27;"Yes"
4;50;3.613;105.1;87.27;"Yes"
4;51;3.613;105.1;87.27;"Yes"
4;52;3.613;105.1;87.27;"Yes"
4;53;3.613;105.1;87.27;"Yes"
4;54;3.613;105.1;87.27;"No"
4;55;3.613;105.1;87.27;"Yes"
4;56;3.613;105.1;87.27;"Yes"
4;57;3.613;105.1;87.27;"Yes"
4;58;3.613;105.1;87.27;"Yes"
4;59;3.613;105.1;87.27;"Yes"
4;60;3.613;105.1;87.27;"Yes"
5;1;5.128;177.83;104.04;"Yes"
5;2;5.128;177.83;104.04;"Yes"
5;3;5.128;177.83;104.04;"Yes"
5;4;5.128;177.83;104.04;"No"
5;5;5.128;177.83;104.04;"Yes"
5;6;5.128;177.83;104.04;"Yes"
5;7;5.128;177.83;104.04;"Yes"
5;8;5.128;177.83;104.04;"No"
5;9;5.128;177.83;104.04;"Yes"
5;10;5.128;177.83;104.04;"Yes"
5;11;5.128;177.83;104.04;"Yes"
5;12;5.128;177.83;104.04;"No"
5;13;5.128;177.83;104.04;"Yes"
5;14;5.128;177.83;104.04;"No"
5;15;5.128;177.83;104.04;"Yes"
5;16;5.128;177.83;104.04;"Yes"
5;17;5.128;-177.83;104.04;"Yes"
5;18;5.128;177.83;104.04;"Yes"
5;19;5.128;177.83;104.04;"Yes"
5;20;5.128;177.83;104.04;"Yes"
5;21;5.128;177.83;104.04;"Yes"
5;22;5.128;-177.83;104.04;"Yes"
5;23;5.128;177.83;104.04;"Yes"
5;24;5.128;177.83;104.04;"Yes"
5;25;5.128;177.83;104.04;"Yes"
5;26;5.128;177.83;104.04;"No"
5;27;5.128;177.83;104.04;"Yes"
5;28;5.128;177.83;104.04;"Yes"
5;29;5.128;-177.83;104.04;"Yes"
5;30;5.128;177.83;104.04;"Yes"
5;31;5.128;177.83;104.04;"No"
5;32;5.128;177.83;104.04;"Yes"
5;33;5.128;-177.83;104.04;"Yes"
5;34;5.128;177.83;104.04;"Yes"
5;35;5.128;177.83;104.04;"Yes"
5;36;5.128;177.83;104.04;"Yes"
5;37;5.128;177.83;104.04;"Yes"
5;38;5.128;177.83;104.04;"Yes"
5;39;5.128;177.83;104.04;"Yes"
5;40;5.128;177.83;104.04;"Yes"
5;41;5.128;177.83;104.04;"Yes"
5;42;5.128;177.83;104.04;"Yes"
5;43;5.128;177.83;104.04;"Yes"
5;44;5.128;177.83;104.04;"Yes"
5;45;5.128;177.83;104.04;"Yes"
5;46;5.128;-177.83;104.04;"No"
5;47;5.128;177.83;104.04;"Yes"
5;48;5.128;177.83;104.04;"No"
5;49;5.128;177.83;104.04;"Yes"
5;50;5.128;177.83;104.04;"Yes"
5;51;5.128;177.83;104.04;"Yes"
5;52;5.128;177.83;104.04;"Yes"
5;53;5.128;177.83;104.04;"Yes"
5;54;5.128;177.83;104.04;"No"
5;55;5.128;177.83;104.04;"Yes"
5;56;5.128;177.83;104.04;"Yes"
5;57;5.128;177.83;104.04;"No"
5;58;5.128;177.83;104.04;"Yes"
5;59;5.128;177.83;104.04;"Yes"
5;60;5.128;177.83;104.04;"Yes"
6;1;4.737;145.33;92.04;"Yes"
6;2;4.737;145.33;92.04;"Yes"
6;3;4.737;145.33;92.04;"Yes"
6;4;4.737;145.33;92.04;"Yes"
6;5;4.737;145.33;92.04;"Yes"
6;6;4.737;145.33;92.04;"Yes"
6;7;4.737;145.33;92.04;"Yes"
6;8;4.737;145.33;92.04;"Yes"
6;9;4.737;145.33;92.04;"Yes"
6;10;4.737;145.33;92.04;"Yes"
6;11;4.737;145.33;92.04;"Yes"
6;12;4.737;145.33;92.04;"Yes"
6;13;4.737;145.33;92.04;"Yes"
6;14;4.737;145.33;92.04;"Yes"
6;15;4.737;145.33;92.04;"No"
6;16;4.737;145.33;92.04;"Yes"
6;17;4.737;-145.33;92.04;"Yes"
6;18;4.737;145.33;92.04;"Yes"
6;19;4.737;145.33;92.04;"Yes"
6;20;4.737;145.33;92.04;"Yes"
6;21;4.737;145.33;92.04;"Yes"
6;22;4.737;145.33;92.04;"Yes"
6;23;4.737;145.33;92.04;"Yes"
6;24;4.737;145.33;92.04;"Yes"
6;25;4.737;145.33;92.04;"Yes"
6;26;4.737;145.33;92.04;"No"
6;27;4.737;145.33;92.04;"Yes"
6;28;4.737;145.33;92.04;"Yes"
6;29;4.737;145.33;92.04;"Yes"
6;30;4.737;145.33;92.04;"Yes"
6;31;4.737;145.33;92.04;"No"
6;32;4.737;145.33;92.04;"Yes"
6;33;4.737;145.33;92.04;"Yes"
6;34;4.737;145.33;92.04;"Yes"
6;35;4.737;-145.33;92.04;"Yes"
6;36;4.737;145.33;92.04;"Yes"
6;37;4.737;145.33;92.04;"No"
6;38;4.737;145.33;92.04;"Yes"
6;39;4.737;145.33;92.04;"Yes"
6;40;4.737;145.33;92.04;"Yes"
6;41;4.737;145.33;92.04;"No"
6;42;4.737;145.33;92.04;"Yes"
6;43;4.737;145.33;92.04;"Yes"
6;44;4.737;145.33;92.04;"Yes"
6;45;4.737;145.33;92.04;"Yes"
6;46;4.737;145.33;92.04;"Yes"
6;47;4.737;145.33;92.04;"Yes"
6;48;4.737;145.33;92.04;"Yes"
6;49;4.737;145.33;92.04;"Yes"
6;50;4.737;145.33;92.04;"Yes"
6;51;4.737;145.33;92.04;"Yes"
6;52;4.737;145.33;92.04;"Yes"
6;53;4.737;145.33;92.04;"Yes"
6;54;4.737;145.33;92.04;"No"
6;55;4.737;145.33;92.04;"Yes"
6;56;4.737;145.33;92.04;"Yes"
6;57;4.737;145.33;92.04;"No"
6;58;4.737;145.33;92.04;"Yes"
6;59;4.737;145.33;92.04;"Yes"
6;60;4.737;145.33;92.04;"No"
7;1;2.495;66.62;66.62;"Yes"
7;2;2.495;66.62;66.62;"No"
7;3;2.495;66.62;66.62;"Yes"
7;4;2.495;66.62;66.62;"Yes"
7;5;2.495;66.62;66.62;"Yes"
7;6;2.495;66.62;66.62;"Yes"
7;7;2.495;66.62;66.62;"Yes"
7;8;2.495;66.62;66.62;"Yes"
7;9;2.495;66.62;66.62;"Yes"
7;10;2.495;66.62;66.62;"Yes"
7;11;2.495;66.62;66.62;"Yes"
7;12;2.495;66.62;66.62;"Yes"
7;13;2.495;66.62;66.62;"Yes"
7;14;2.495;66.62;66.62;"No"
7;15;2.495;66.62;66.62;"Yes"
7;16;2.495;66.62;66.62;"Yes"
7;17;2.495;66.62;66.62;"Yes"
7;18;2.495;66.62;66.62;"Yes"
7;19;2.495;66.62;66.62;"Yes"
7;20;2.495;66.62;66.62;"Yes"
7;21;2.495;66.62;66.62;"Yes"
7;22;2.495;66.62;66.62;"Yes"
7;23;2.495;66.62;66.62;"Yes"
7;24;2.495;66.62;66.62;"Yes"
7;25;2.495;66.62;66.62;"Yes"
7;26;2.495;66.62;66.62;"No"
7;27;2.495;66.62;66.62;"Yes"
7;28;2.495;66.62;66.62;"Yes"
7;29;2.495;66.62;66.62;"Yes"
7;30;2.495;66.62;66.62;"Yes"
7;31;2.495;66.62;66.62;"Yes"
7;32;2.495;66.62;66.62;"Yes"
7;33;2.495;66.62;66.62;"No"
7;34;2.495;66.62;66.62;"Yes"
7;35;2.495;66.62;66.62;"Yes"
7;36;2.495;66.62;66.62;"Yes"
7;37;2.495;66.62;66.62;"Yes"
7;38;2.495;66.62;66.62;"Yes"
7;39;2.495;66.62;66.62;"Yes"
7;40;2.495;66.62;66.62;"No"
7;41;2.495;66.62;66.62;"Yes"
7;42;2.495;66.62;66.62;"Yes"
7;43;2.495;66.62;66.62;"No"
7;44;2.495;66.62;66.62;"Yes"
7;45;2.495;66.62;66.62;"Yes"
7;46;2.495;66.62;66.62;"No"
7;47;2.495;66.62;66.62;"Yes"
7;48;2.495;66.62;66.62;"Yes"
7;49;2.495;-66.62;66.62;"Yes"
7;50;2.495;66.62;66.62;"Yes"
7;51;2.495;66.62;66.62;"Yes"
7;52;2.495;66.62;66.62;"Yes"
7;53;2.495;66.62;66.62;"Yes"
7;54;2.495;66.62;66.62;"Yes"
7;55;2.495;66.62;66.62;"Yes"
7;56;2.495;66.62;66.62;"Yes"
7;57;2.495;66.62;66.62;"Yes"
7;58;2.495;66.62;66.62;"Yes"
7;59;2.495;66.62;66.62;"Yes"
7;60;2.495;66.62;66.62;"Yes"
8;1;4.279;115.22;80.79;"No"
8;2;4.279;115.22;80.79;"Yes"
8;3;4.279;115.22;80.79;"Yes"
8;4;4.279;115.22;80.79;"Yes"
8;5;4.279;115.22;80.79;"Yes"
8;6;4.279;115.22;80.79;"Yes"
8;7;4.279;115.22;80.79;"Yes"
8;8;4.279;115.22;80.79;"Yes"
8;9;4.279;115.22;80.79;"Yes"
8;10;4.279;115.22;80.79;"No"
8;11;4.279;115.22;80.79;"Yes"
8;12;4.279;115.22;80.79;"No"
8;13;4.279;115.22;80.79;"No"
8;14;4.279;-115.22;80.79;"Yes"
8;15;4.279;-115.22;80.79;"Yes"
8;16;4.279;115.22;80.79;"Yes"
8;17;4.279;115.22;80.79;"Yes"
8;18;4.279;115.22;80.79;"Yes"
8;19;4.279;115.22;80.79;"Yes"
8;20;4.279;115.22;80.79;"No"
8;21;4.279;115.22;80.79;"Yes"
8;22;4.279;115.22;80.79;"No"
8;23;4.279;115.22;80.79;"Yes"
8;24;4.279;115.22;80.79;"Yes"
8;25;4.279;115.22;80.79;"Yes"
8;26;4.279;115.22;80.79;"No"
8;27;4.279;115.22;80.79;"Yes"
8;28;4.279;115.22;80.79;"Yes"
8;29;4.279;115.22;80.79;"No"
8;30;4.279;115.22;80.79;"Yes"
8;31;4.279;115.22;80.79;"Yes"
8;32;4.279;115.22;80.79;"Yes"
8;33;4.279;115.22;80.79;"Yes"
8;34;4.279;115.22;80.79;"No"
8;35;4.279;115.22;80.79;"Yes"
8;36;4.279;115.22;80.79;"Yes"
8;37;4.279;115.22;80.79;"Yes"
8;38;4.279;115.22;80.79;"Yes"
8;39;4.279;115.22;80.79;"Yes"
8;40;4.279;115.22;80.79;"No"
8;41;4.279;115.22;80.79;"Yes"
8;42;4.279;115.22;80.79;"Yes"
8;43;4.279;115.22;80.79;"Yes"
8;44;4.279;115.22;80.79;"Yes"
8;45;4.279;115.22;80.79;"Yes"
8;46;4.279;115.22;80.79;"Yes"
8;47;4.279;115.22;80.79;"Yes"
8;48;4.279;115.22;80.79;"Yes"
8;49;4.279;-115.22;80.79;"No"
8;50;4.279;115.22;80.79;"Yes"
8;51;4.279;-115.22;80.79;"Yes"
8;52;4.279;115.22;80.79;"Yes"
8;53;4.279;115.22;80.79;"Yes"
8;54;4.279;115.22;80.79;"Yes"
8;55;4.279;115.22;80.79;"Yes"
8;56;4.279;115.22;80.79;"Yes"
8;57;4.279;115.22;80.79;"Yes"
8;58;4.279;115.22;80.79;"Yes"
8;59;4.279;115.22;80.79;"Yes"
8;60;4.279;115.22;80.79;"No"
9;1;1.935;184.35;184.35;"Yes"
9;2;1.935;184.35;184.35;"Yes"
9;3;1.935;184.35;184.35;"Yes"
9;4;1.935;184.35;184.35;"Yes"
9;5;1.935;184.35;184.35;"Yes"
9;6;1.935;184.35;184.35;"Yes"
9;7;1.935;184.35;184.35;"Yes"
9;8;1.935;184.35;184.35;"Yes"
9;9;1.935;184.35;184.35;"Yes"
9;10;1.935;184.35;184.35;"Yes"
9;11;1.935;184.35;184.35;"No"
9;12;1.935;184.35;184.35;"Yes"
9;13;1.935;184.35;184.35;"Yes"
9;14;1.935;184.35;184.35;"No"
9;15;1.935;-184.35;184.35;"Yes"
9;16;1.935;184.35;184.35;"Yes"
9;17;1.935;184.35;184.35;"Yes"
9;18;1.935;184.35;184.35;"Yes"
9;19;1.935;-184.35;184.35;"Yes"
9;20;1.935;184.35;184.35;"Yes"
9;21;1.935;184.35;184.35;"Yes"
9;22;1.935;184.35;184.35;"Yes"
9;23;1.935;184.35;184.35;"Yes"
9;24;1.935;184.35;184.35;"Yes"
9;25;1.935;184.35;184.35;"Yes"
9;26;1.935;184.35;184.35;"Yes"
9;27;1.935;184.35;184.35;"Yes"
9;28;1.935;184.35;184.35;"Yes"
9;29;1.935;184.35;184.35;"Yes"
9;30;1.935;184.35;184.35;"Yes"
9;31;1.935;184.35;184.35;"Yes"
9;32;1.935;-184.35;184.35;"Yes"
9;33;1.935;184.35;184.35;"Yes"
9;34;1.935;184.35;184.35;"Yes"
9;35;1.935;184.35;184.35;"Yes"
9;36;1.935;184.35;184.35;"Yes"
9;37;1.935;184.35;184.35;"Yes"
9;38;1.935;184.35;184.35;"Yes"
9;39;1.935;184.35;184.35;"Yes"
9;40;1.935;184.35;184.35;"Yes"
9;41;1.935;184.35;184.35;"Yes"
9;42;1.935;184.35;184.35;"Yes"
9;43;1.935;184.35;184.35;"Yes"
9;44;1.935;184.35;184.35;"Yes"
9;45;1.935;184.35;184.35;"Yes"
9;46;1.935;184.35;184.35;"Yes"
9;47;1.935;184.35;184.35;"Yes"
9;48;1.935;184.35;184.35;"No"
9;49;1.935;-184.35;184.35;"No"
9;50;1.935;184.35;184.35;"No"
9;51;1.935;184.35;184.35;"Yes"
9;52;1.935;-184.35;184.35;"Yes"
9;53;1.935;184.35;184.35;"Yes"
9;54;1.935;184.35;184.35;"No"
9;55;1.935;184.35;184.35;"Yes"
9;56;1.935;184.35;184.35;"Yes"
9;57;1.935;184.35;184.35;"Yes"
9;58;1.935;184.35;184.35;"Yes"
9;59;1.935;184.35;184.35;"Yes"
9;60;1.935;184.35;184.35;"Yes"
10;1;3.615;189.33;157.11;"No"
10;2;3.615;189.33;157.11;"Yes"
10;3;3.615;189.33;157.11;"Yes"
10;4;3.615;189.33;157.11;"Yes"
10;5;3.615;189.33;157.11;"Yes"
10;6;3.615;189.33;157.11;"Yes"
10;7;3.615;189.33;157.11;"Yes"
10;8;3.615;189.33;157.11;"Yes"
10;9;3.615;189.33;157.11;"Yes"
10;10;3.615;189.33;157.11;"Yes"
10;11;3.615;189.33;157.11;"No"
10;12;3.615;189.33;157.11;"Yes"
10;13;3.615;189.33;157.11;"Yes"
10;14;3.615;189.33;157.11;"Yes"
10;15;3.615;189.33;157.11;"Yes"
10;16;3.615;189.33;157.11;"Yes"
10;17;3.615;189.33;157.11;"Yes"
10;18;3.615;189.33;157.11;"Yes"
10;19;3.615;189.33;157.11;"No"
10;20;3.615;-189.33;157.11;"Yes"
10;21;3.615;189.33;157.11;"Yes"
10;22;3.615;189.33;157.11;"Yes"
10;23;3.615;189.33;157.11;"Yes"
10;24;3.615;189.33;157.11;"Yes"
10;25;3.615;189.33;157.11;"Yes"
10;26;3.615;189.33;157.11;"Yes"
10;27;3.615;189.33;157.11;"Yes"
10;28;3.615;189.33;157.11;"No"
10;29;3.615;-189.33;157.11;"Yes"
10;30;3.615;189.33;157.11;"Yes"
10;31;3.615;189.33;157.11;"Yes"
10;32;3.615;189.33;157.11;"Yes"
10;33;3.615;189.33;157.11;"Yes"
10;34;3.615;189.33;157.11;"No"
10;35;3.615;189.33;157.11;"Yes"
10;36;3.615;189.33;157.11;"Yes"
10;37;3.615;189.33;157.11;"No"
10;38;3.615;189.33;157.11;"Yes"
10;39;3.615;189.33;157.11;"Yes"
10;40;3.615;189.33;157.11;"Yes"
10;41;3.615;189.33;157.11;"Yes"
10;42;3.615;189.33;157.11;"Yes"
10;43;3.615;189.33;157.11;"Yes"
10;44;3.615;189.33;157.11;"Yes"
10;45;3.615;189.33;157.11;"Yes"
10;46;3.615;189.33;157.11;"Yes"
10;47;3.615;189.33;157.11;"Yes"
10;48;3.615;189.33;157.11;"Yes"
10;49;3.615;189.33;157.11;"No"
10;50;3.615;189.33;157.11;"Yes"
10;51;3.615;189.33;157.11;"Yes"
10;52;3.615;189.33;157.11;"No"
10;53;3.615;189.33;157.11;"Yes"
10;54;3.615;189.33;157.11;"Yes"
10;55;3.615;189.33;157.11;"Yes"
10;56;3.615;189.33;157.11;"Yes"
10;57;3.615;189.33;157.11;"Yes"
10;58;3.615;189.33;157.11;"No"
10;59;3.615;189.33;157.11;"Yes"
10;60;3.615;189.33;157.11;"Yes"
11;1;8.605;208.76;72.78;"Yes"
11;2;8.605;208.76;72.78;"Yes"
11;3;8.605;208.76;72.78;"Yes"
11;4;8.605;208.76;72.78;"Yes"
11;5;8.605;208.76;72.78;"Yes"
11;6;8.605;208.76;72.78;"Yes"
11;7;8.605;208.76;72.78;"Yes"
11;8;8.605;208.76;72.78;"Yes"
11;9;8.605;208.76;72.78;"Yes"
11;10;8.605;208.76;72.78;"Yes"
11;11;8.605;208.76;72.78;"Yes"
11;12;8.605;208.76;72.78;"No"
11;13;8.605;208.76;72.78;"Yes"
11;14;8.605;208.76;72.78;"Yes"
11;15;8.605;208.76;72.78;"Yes"
11;16;8.605;208.76;72.78;"Yes"
11;17;8.605;208.76;72.78;"Yes"
11;18;8.605;208.76;72.78;"Yes"
11;19;8.605;208.76;72.78;"Yes"
11;20;8.605;208.76;72.78;"Yes"
11;21;8.605;208.76;72.78;"Yes"
11;22;8.605;208.76;72.78;"No"
11;23;8.605;208.76;72.78;"Yes"
11;24;8.605;208.76;72.78;"Yes"
11;25;8.605;208.76;72.78;"No"
11;26;8.605;208.76;72.78;"Yes"
11;27;8.605;208.76;72.78;"Yes"
11;28;8.605;208.76;72.78;"Yes"
11;29;8.605;208.76;72.78;"Yes"
11;30;8.605;208.76;72.78;"Yes"
11;31;8.605;208.76;72.78;"Yes"
11;32;8.605;208.76;72.78;"Yes"
11;33;8.605;-208.76;72.78;"Yes"
11;34;8.605;208.76;72.78;"Yes"
11;35;8.605;208.76;72.78;"Yes"
11;36;8.605;208.76;72.78;"Yes"
11;37;8.605;-208.76;72.78;"Yes"
11;38;8.605;208.76;72.78;"Yes"
11;39;8.605;208.76;72.78;"Yes"
11;40;8.605;208.76;72.78;"Yes"
11;41;8.605;208.76;72.78;"Yes"
11;42;8.605;-208.76;72.78;"Yes"
11;43;8.605;208.76;72.78;"Yes"
11;44;8.605;208.76;72.78;"Yes"
11;45;8.605;208.76;72.78;"Yes"
11;46;8.605;208.76;72.78;"Yes"
11;47;8.605;208.76;72.78;"Yes"
11;48;8.605;-208.76;72.78;"Yes"
11;49;8.605;208.76;72.78;"Yes"
11;50;8.605;-208.76;72.78;"Yes"
11;51;8.605;208.76;72.78;"Yes"
11;52;8.605;208.76;72.78;"Yes"
11;53;8.605;208.76;72.78;"Yes"
11;54;8.605;208.76;72.78;"Yes"
11;55;8.605;208.76;72.78;"Yes"
11;56;8.605;208.76;72.78;"Yes"
11;57;8.605;208.76;72.78;"Yes"
11;58;8.605;208.76;72.78;"Yes"
11;59;8.605;208.76;72.78;"Yes"
11;60;8.605;208.76;72.78;"No"
12;1;6.275;263.12;125.79;"Yes"
12;2;6.275;263.12;125.79;"Yes"
12;3;6.275;263.12;125.79;"Yes"
12;4;6.275;263.12;125.79;"Yes"
12;5;6.275;263.12;125.79;"Yes"
12;6;6.275;263.12;125.79;"Yes"
12;7;6.275;263.12;125.79;"Yes"
12;8;6.275;263.12;125.79;"Yes"
12;9;6.275;263.12;125.79;"Yes"
12;10;6.275;263.12;125.79;"Yes"
12;11;6.275;-263.12;125.79;"No"
12;12;6.275;263.12;125.79;"No"
12;13;6.275;263.12;125.79;"Yes"
12;14;6.275;263.12;125.79;"Yes"
12;15;6.275;263.12;125.79;"Yes"
12;16;6.275;263.12;125.79;"Yes"
12;17;6.275;263.12;125.79;"Yes"
12;18;6.275;263.12;125.79;"Yes"
12;19;6.275;263.12;125.79;"Yes"
12;20;6.275;263.12;125.79;"No"
12;21;6.275;263.12;125.79;"Yes"
12;22;6.275;263.12;125.79;"Yes"
12;23;6.275;263.12;125.79;"Yes"
12;24;6.275;263.12;125.79;"Yes"
12;25;6.275;263.12;125.79;"Yes"
